"pedido_codigo","pedido_id","data_hora","origem","situacao","situacao_descricao","valor_total_pedido","rastreio_id","produto_id","produto_nome","produto_titulo","codigo_pai","derivacao_id","derivacao_codigo","derivacao_nome","categoria_id","categoria","quantidade","valor_unitario","valor_desconto","valor_item","valor_frete","link_produto"
"0012506373705","4353","2025-06-30 15:50:30-03","3","8","Entregue","180","4353","959","Body Feminino Marina","Body Feminino Marina","2118","4636","2118P","P","45","Lançamentos","1","197.7","17.7","180","0","body-feminino-marina"
"0012507945457","4354","2025-07-01 09:09:43-03","3","8","Entregue","199.9","4354","301","Poncho Feminino Camila","Poncho Feminino Camila","1546","1473","1546UNICO","Único","39","Outlet","1","179.8","0","199.9","0","poncho-feminino-camila"
"0012507242207","4355","2025-07-01 09:44:06-03","1","8","Entregue","279.72","4355","710","Camisete Feminina Priscila","Camisete Feminina Priscila","1907","3692","1907G","G","39","Outlet","1","155.4","15.54","139.86","0","camisete-feminina-priscila"
"0012507242207","4355","2025-07-01 09:44:06-03","1","8","Entregue","279.72","4355","713","Camisete Feminina Flor de Liz","Camisete Feminina Flor de Liz","1908","3718","1908G","G","39","Outlet","1","155.4","15.54","139.86","0","camisete-feminina-flor-de-liz"
"0012507411948","4356","2025-07-01 14:23:54-03","1","8","Entregue","240.93","4356","531","Chemise Feminina Bridão","Chemise Feminina Bridão","1752","2669","1752GG","GG","46","Mais Vendidos","1","267.7","26.77","240.93","0","chemise-feminina-bridao"
"0012507338777","4357","2025-07-01 14:58:31-03","3","8","Entregue","225.82","4357","703","Saia Feminina Courino Cabana","Saia Feminina Courino Cabana","1902","3653","1902GPRETO","Preto - G","39","Outlet","1","237.7","11.88","225.82","0","saia-feminina-courino-cabana"
"0012507792734","4358","2025-07-02 08:54:16-03","1","7","Transporte","231.93","4358","957","Casaco Feminino Soft Maya","Casaco Feminino Soft Maya","2115","4622","2115G","G","45","Lançamentos","1","257.7","25.77","231.93","0","casaco-feminino-soft-maya"
"0012507565990","4359","2025-07-02 11:35:32-03","3","8","Entregue","244.82","4359","853","Calça Feminina Skinny Júlia","Calça Feminina Skinny Júlia","2048","4260","204844","44","8","Calça","1","257.7","12.88","244.82","0","calca-feminina-skinny-julia"
"0012507691329","4360","2025-07-03 13:41:37-03","1","17","Devolvido","615.4","4360","934","Casaco Feminino Soft Alongado Ayla","Casaco Feminino Soft Alongado Ayla","3000","4563","3000GG","GG","45","Lançamentos","1","317.7","0","317.7","0","casaco-feminino-soft-alongado-ayla"
"0012507691329","4360","2025-07-03 13:41:37-03","1","17","Devolvido","615.4","4360","870","Vestido Feminino Over Bridão ","Vestido Feminino Over Bridão ","2057","4318","2057G","G","39","Outlet","1","297.7","0","297.7","0","vestido-feminino-over-bridao"
"0012507245425","4361","2025-07-05 07:51:23-03","1","8","Entregue","244.82","4361","955","Casaco Soft Meio Zíper Alana","Casaco Soft Meio Zíper Alana","2112","4611","2112G","G","45","Lançamentos","1","257.7","12.88","244.82","0","casaco-soft-meio-ziper-alana"
"0012507670055","4362","2025-07-06 09:57:59-03","1","8","Entregue","375.64","4362","316","Body Feminino Realeza","Body Feminino Realeza","1541","1530","1541G","G","45","Lançamentos","1","197.7","9.88","187.82","0","body-feminino-realeza"
"0012507670055","4362","2025-07-06 09:57:59-03","1","8","Entregue","375.64","4362","927","Body Feminino Juliana","Body Feminino Juliana","2086","4530","2086G","G","45","Lançamentos","1","197.7","9.88","187.82","0","body-feminino-juliana"
"0012507929660","4363","2025-07-07 08:18:16-03","1","8","Entregue","339.63","4363","957","Casaco Feminino Soft Maya","Casaco Feminino Soft Maya","2115","4623","2115GG","GG","45","Lançamentos","1","257.7","12.88","244.82","0","casaco-feminino-soft-maya"
