"itemName","itemId","itemCategory","itemsViewed","itemsAddedToCart","itemsPurchased","itemRevenue"
"Sobretudo Feminino Inês","2038","Feminino","32","0","0","0"
"Top Feminino Renata","1884","Outlet","32","2","0","0"
"Casaco Feminino Soft Márcio","2249","Lançamentos","31","1","0","0"
"Cropped Feminino Modal Lilia","1989","Feminino","31","0","0","0"
"T-Shirt Feminina Andaluz","1086","Feminino","31","1","0","0"
"T-Shirt Feminina Marli","2254","Lançamentos","31","1","0","0"
"Blusa Feminina Cowgirl","1788","Outlet","30","2","0","0"
"Colete Feminino Linho Black","2049","Lançamentos","30","1","0","0"
"Regata Feminina Favorita","1742","Feminino","30","0","0","0"
"Bata Feminina Duqueza CB","1804","Outlet","29","1","0","0"
"Camisola Feminina Cabana","2147","Feminino","29","1","0","0"
"Casaco Soft Cute","1756DESATIVADO","Feminino","29","0","0","0"
"T-Shirt Feminina Ísis","2084","Lançamentos","29","1","0","0"
"Óculos Cabana Geovanna","2168","Acessórios","29","0","0","0"
"Óculos Cabana Silvane","2179","Acessórios","29","0","0","0"
"óculos Cabana Karol","2185","Acessórios","29","0","0","0"
"Bombacha Xadrez Feminina Maitê","2299","Lançamentos","28","2","0","0"
"Vestido Feminino Luana","1838","Outlet","28","0","0","0"
"Colar Feminino Choker Cabana","2016","Lançamentos","27","2","0","0"
"Óculos Cabana Amanda","2187","Acessórios","27","0","0","0"
"Óculos Cabana Suzy","2174","Acessórios","27","1","0","0"
"Bata Marília","1829","Outlet","26","2","0","0"
"Pulseira Feminina Ellos Cabana","2010","Acessórios","26","0","0","0"
"Cropped Feminino Mariana","1811","Outlet","25","1","0","0"
"Calça Feminina Montaria Cabana","1537","Mais Vendidos","24","1","0","0"
"Moletom Feminino Zeus","1777","Outlet","24","0","0","0"
"Blusa Feminina Texas","1819","Outlet","23","0","0","0"
"Regata  Feminina Núbia","1926","Feminino","23","0","0","0"
"Top Feminino Analu","1887","Outlet","23","0","0","0"
"Blusa Feminina Sofhia","1874","Outlet","22","2","0","0"
"Camisete Feminina Ana","2263","Lançamentos","22","0","0","0"
"Cropped Feminino Vanessa","2024","Lançamentos","22","0","0","0"
"Óculos Cabana Débora","2166","Acessórios","22","0","0","0"
"Óculos Cabana Luma","2214","Acessórios","22","1","0","0"
"Colar Feminino Ellos Cabana","1970","Acessórios","21","0","0","0"
"Saia Feminina Estampada Camafeu","1200","Feminino","21","0","0","0"
" Colete Xadrez Feminino Maitê","2300","Lançamentos","20","2","0","0"
