"itemName","itemId","itemCategory","itemsViewed","itemsAddedToCart","itemsPurchased","itemRevenue"
"Moletom Feminino Cris","2111","Lançamentos","79","1","0","0"
"Blusa Feminina Ciganinha Princesa","1526","Outlet","78","0","0","0"
"Calça Skinny Feminina Amazona","1891","Feminino","78","1","0","0"
"Regata Feminina Neblina","1694","Feminino","77","2","0","0"
"T-Shirt Feminina Rodeio","2138","Lançamentos","77","4","0","0"
"Vestido Feminino Lia","1991","Lançamentos","76","4","0","0"
"Cropped Feminino Rose","2144","Lançamentos","74","4","0","0"
"Jaqueta Feminina Bomber Paloma","1864","Outlet","74","1","0","0"
"Óculos Cabana Gateado","2216","Acessórios","73","0","0","0"
"Regata Feminina Modeladora Luna","1805","Verão 2024","72","4","0","0"
"Sobretudo Feminino Lize","2079","Feminino","72","0","0","0"
"T-Shirt Feminina Larissa","2198","Lançamentos","72","3","0","0"
"Camisete Realeza","1524","Feminino","71","2","0","0"
"Cropped  Feminino Núbia","1928","Feminino","71","0","0","0"
"Colete Feminino Frísio","1883","Outlet","70","0","0","0"
"Regata Feminina Aurora","2246","Lançamentos","70","1","0","0"
"Vestido Feminino Over Victorius","1630","Outlet","70","3","0","0"
"Ruana Feminina Cabana","2109","Lançamentos","69","2","0","0"
"T-Shirt Feminina Brenda","2243","Lançamentos","69","0","0","0"
"Vestido Feminino Gateado","2027","Mais Vendidos","69","0","0","0"
"Casaco Feminino Ted Borregos","1725","Outlet","67","0","0","0"
"Corselet Rosana","1835","Outlet","67","7","0","0"
"T-Shirt Feminina Sophia","2238","Lançamentos","67","2","0","0"
"Camisete Feminino El Paso","1166","Feminino","66","0","0","0"
"Casaco Ted Feminino Rose","1915","Outlet","66","0","0","0"
"Body Térmico Feminino Cabana","1785","Feminino","65","2","0","0"
"Vestido Laços Equestres","1568","Outlet","65","1","0","0"
"Colete Feminino Lara","2029","Lançamentos","64","0","0","0"
"Blusa Feminina Marina","2135","Lançamentos","63","3","0","0"
"T-Shirt Bia","2153","Lançamentos","62","2","0","0"
"Vestido Feminino Serena","1992","Outlet","62","1","0","0"
"Vestido Feminino Vanessa ","2008","Outlet","62","0","0","0"
"Colete Feminino Cabana Grazi","1880","Lançamentos","61","4","0","0"
"Moletom Feminino Beatriz","2110","Lançamentos","61","2","0","0"
"T-Shirt Feminina Diamante","2137","Lançamentos","61","0","0","0"
"Vestido Feminino Rosana","2056","Feminino","61","0","0","0"
"Body Feminino Amanda","1872","Feminino","59","4","0","0"
"Camisete Feminina Amanhecer","2130","Lançamentos","59","1","0","0"
"Vestido Feminino Debora","2006","Outlet","58","0","0","0"
"Top Feminino Sofia","1889","Outlet","56","1","0","0"
"Colete Feminino Xadrez Ana","2295","Lançamentos","55","3","0","0"
"Saia Feminina Manuela","2041","Feminino","54","0","0","0"
"T-Shirt Feminina Bridão Manu","2195","Lançamentos","54","0","0","0"
"Vestido Feminino Lavínia","1861","Outlet","54","0","0","0"
"Camisete Feminina Stella","1866","Feminino","53","0","0","0"
"Colete Feminino Linho Marrom","1923","Feminino","53","0","0","0"
"Óculos Cabana","2151","Acessórios","53","0","0","0"
"Calça Feminina Cargo Cabana","1935","Outlet","52","0","0","0"
"Chemise Feminino Valente","1604","Feminino","52","0","0","0"
"Blusa Feminina Emanuely Kids","2257","Lançamentos","51","2","0","0"
"Blusa Feminina Relíquia","1800","Verão 2024","51","2","0","0"
"Colete Feminino Linho Cabana","1880","Lançamentos","51","0","0","0"
"Vestido Feminino Fátima","2003","Outlet","51","1","0","0"
"Blazer Feminina Xadrez Joana","2036","Lançamentos","50","1","0","0"
"Body Feminino Juliana","2086","Lançamentos","50","2","0","0"
"Pulseira Feminina Laços Cabana","1957","Acessórios","50","1","0","0"
"T-Shirt Feminina Maitê","2298","Lançamentos","50","2","0","0"
"Vestido Feminino Love Horses","1865","Outlet","50","2","0","0"
"Óculos Cabana Morgan","2212","Acessórios","50","0","0","0"
"Colar Feminino Ellos Cabana","1968","Acessórios","49","0","0","0"
"Chemise Feminina Roberta","1920","Lançamentos","48","1","0","0"
"Colete Feminino Paula","1932","Outlet","48","1","0","0"
"Cropped Feminino Amanda","1943","Feminino","48","0","0","0"
"Blusa Feminina Corsel","1831","Feminino","47","0","0","0"
"Camisete Feminina Suzy","2107","Lançamentos","47","1","0","0"
"Chemise Feminina Núbia","1918","Feminino","47","0","0","0"
"Colete Feminino Fronteira","1721","Feminino","47","0","0","0"
"Bombacha Feminina Linho Black","2050","Lançamentos","46","4","0","0"
"Saia Feminina Longa Paula","1931","Outlet","45","0","0","0"
"T-Shirt Feminina ônix","2136","Lançamentos","45","1","0","0"
"Cropped Feminino Suzy","2025","Lançamentos","44","0","0","0"
"Jaqueta Feminina Beatrix","1621","Outlet","44","0","0","0"
"Body Feminino Daniele","1882","Feminino","41","1","0","0"
"Bombacha Curta Feminina Lia","1984","Outlet","41","0","0","0"
"Colete Feminino Penélope","1876","Feminino","41","0","0","0"
"Pulseira Feminina Laços Cabana","1962","Acessórios","41","0","0","0"
"Shorts Jeans Cabana","2157","Lançamentos","41","0","0","0"
"Colar Feminino Ellos Cabana","1972","Acessórios","40","1","0","0"
"Pulseira Feminina Laços Cabana","1959","Acessórios","40","0","0","0"
"Vestido Feminino Melissa","2287","Lançamentos","39","1","0","0"
"Body Feminino Angélica","1837","Feminino","38","0","0","0"
"Cropped Feminino Equus","1690","Outlet","38","0","0","0"
"T-Shirt Feminina Adriana","1954","Outlet","38","1","0","0"
"Óculos Cabana Alice","2188","Acessórios","38","0","0","0"
"Blusa Feminina Grazi Kids","2250","Lançamentos","37","0","0","0"
"Cropped Feminino Gabriella","1904","Feminino","37","0","0","0"
"Regata Feminina Modeladora Safira","1806","Verão 2024","37","0","0","0"
"Blusa Térmica Feminina CB","1782","Outlet","36","2","0","0"
"Macação Feminino Jasmine","1656","Outlet","36","0","0","0"
"Saia Feminina Cetim Laura","2193","Lançamentos","36","0","0","0"
"Saia Feminina Cowgirl","1239","Outlet","36","0","0","0"
"Body Feminino Flicka Paetê","1686","Feminino","35","0","0","0"
"Body Feminino Núbia","1974","Feminino","35","0","0","0"
"Pulseira Feminina Laços","2074","Acessórios","35","1","0","0"
"Cropped Feminino Carolina","1807","Outlet","34","2","0","0"
"Óculos Cabana","2162","Acessórios","34","0","0","0"
"Cropped Feminino Manuela","2040","Feminino","33","0","0","0"
"Blusa Feminina Juliana","2133","Lançamentos","32","1","0","0"
"Body Feminino Victória","1681","Feminino","32","2","0","0"
"Short Maya","1730","Outlet","32","0","0","0"
